Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,cuchillo.mp3,I130.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,autobus.mp3,I039.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pan.mp3,I067.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,fresa.mp3,I220.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,lentes.mp3,I132.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,tenedor.mp3,I097.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cinturon.mp3,I026.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pato.mp3,I209.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pantalon.mp3,I146.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cerdo.mp3,I233.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,llave.mp3,I128.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,tortuga.mp3,I212.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,mano.mp3,I113.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,avion.mp3,I002.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,sol.mp3,I105.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,arana.mp3,I081.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cocodrilo.mp3,I003.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,corazon.mp3,I044.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cuchara.mp3,I119.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,puerta.mp3,I076.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cama.mp3,I215.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,campana.mp3,I025.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,vaso.mp3,I042.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,casa.mp3,I122.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,oso.mp3,I021.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pierna.mp3,I134.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,ojo.mp3,I086.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,rana.mp3,I244.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pera.mp3,I166.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,gato.mp3,I049.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pie.mp3,I094.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,vaca.mp3,I182.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,arbol.mp3,I241.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pajaro.mp3,I025.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,sillon.mp3,I241.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pastel.mp3,I040.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,payaso.mp3,I063.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,escoba.mp3,I037.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,lampara.mp3,I014.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,brazo.mp3,I243.png,ArrowRight
