Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,cerdo.mp3,I182.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,dedo.mp3,I088.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,corazon.mp3,I132.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,arana.mp3,I055.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,puerta.mp3,I115.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,arbol.mp3,I241.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,paraguas.mp3,I245.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pina.mp3,I120.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,raton.mp3,I081.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,limon.mp3,I135.png,ArrowLeft
